MPIIprobe,blocking,bufferSize,compression,dataSize,fileCount,filename,ioGroupSize,layout,nCompute,nMaster,nProcs,nRead,nWrite,ost,sys,transport,type
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.POSIX.b4.is15-POSIX,15,coloc,383,1,384,383,383,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n32.f9600.POSIX.b4.is15.ost-POSIX,15,coloc,383,1,384,383,383,1,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n60.f18000.MPI_AMR.b4.is-1-MPI_AMR,719,coloc,719,1,720,719,719,0,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n60.f18000.MPI_AMR.b4.is-1.ost-MPI_AMR,719,coloc,719,1,720,719,719,1,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n60.f18000.MPI_LUSTRE.b4.is-1-MPI_LUSTRE,719,coloc,719,1,720,719,719,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n60.f18000.MPI_LUSTRE.b4.is-1.ost-MPI_LUSTRE,719,coloc,719,1,720,719,719,1,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n60.f18000.MPI_LUSTRE.b4.is15-MPI_LUSTRE,15,coloc,719,1,720,719,719,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n60.f18000.POSIX.b4.is-1-POSIX,719,coloc,719,1,720,719,719,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n60.f18000.POSIX.b4.is-1.ost-POSIX,719,coloc,719,1,720,719,719,1,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n60.f18000.POSIX.b4.is15-POSIX,15,coloc,719,1,720,719,719,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.coloc.keeneland.n60.f18000.POSIX.b4.is15.ost-POSIX,15,coloc,719,1,720,719,719,1,kids,POSIX,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.separate.keeneland.n100.f30000.MPI_LUSTRE.b4.io60-1.is60,60,sep-W,1139,1,1200,1139,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.separate.keeneland.n100.f30000.MPI_LUSTRE.b4.io60-1.is60.ost,60,sep-W,1139,1,1200,1139,60,1,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.separate.keeneland.n100.f30000.na-POSIX.b4.io60-1.is1,1,sep-W,1139,1,1200,1139,60,0,kids,na-POSIX,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.separate.keeneland.n100.f30000.POSIX.b4.io60-1.is15,15,sep-W,1139,1,1200,1139,60,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.separate.keeneland.n100.f30000.POSIX.b4.io60-1.is60,60,sep-W,1139,1,1200,1139,60,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.separate.keeneland.n100.f30000.POSIX.b4.io60-1.is60.ost,60,sep-W,1139,1,1200,1139,60,1,kids,POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.separate.keeneland.n32.f9600.na-POSIX.b4.io60-1.is1,1,sep-W,323,1,384,323,60,0,kids,na-POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-2/TCGA.separate.keeneland.n32.f9600.na-POSIX.b4.io60-1.is1.ost,1,sep-W,323,1,384,323,60,1,kids,na-POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n32.f9600.MPI_AMR.b4.io60-1.is60,60,sep-W,323,1,384,323,60,0,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n32.f9600.MPI_AMR.b4.io60-1.is60.ost,60,sep-W,323,1,384,323,60,1,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n32.f9600.MPI_LUSTRE.b4.io60-1.is60,60,sep-W,323,1,384,323,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n32.f9600.MPI_LUSTRE.b4.io60-1.is60.ost,60,sep-W,323,1,384,323,60,1,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.MPI_AMR.b4.io60-1.is60,60,sep-W,659,1,720,659,60,0,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.MPI_AMR.b4.io60-1.is60.ost,60,sep-W,659,1,720,659,60,1,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.MPI_LUSTRE.b4.io60-1.is15,15,sep-W,659,1,720,659,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.MPI_LUSTRE.b4.io60-1.is15.ost,15,sep-W,659,1,720,659,60,1,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.MPI_LUSTRE.b4.io60-1.is60,60,sep-W,659,1,720,659,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.MPI_LUSTRE.b4.io60-1.is60.ost,60,sep-W,659,1,720,659,60,1,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.na-POSIX.b4.io60-1.is1,1,sep-W,659,1,720,659,60,0,kids,na-POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.na-POSIX.b4.io60-1.is1.ost,1,sep-W,659,1,720,659,60,1,kids,na-POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io60-1.is15,15,sep-W,659,1,720,659,60,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io60-1.is15.ost,15,sep-W,659,1,720,659,60,1,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io60-1.is60,60,sep-W,659,1,720,659,60,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-3/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io60-1.is60.ost,60,sep-W,659,1,720,659,60,1,kids,POSIX,TCGA-GBM
1,1,1,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.baseline.keeneland.n32.f9600,383,baseline,383,1,384,383,383,0,kids,opencv,TCGA-GBM
1,1,1,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.baseline.keeneland.n32.f9600.ost,383,baseline,383,1,384,383,383,1,kids,opencv,TCGA-GBM
1,1,1,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.baseline.keeneland.n60.f18000,719,baseline,719,1,720,719,719,0,kids,opencv,TCGA-GBM
1,1,1,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.baseline.keeneland.n60.f18000.ost,719,baseline,719,1,720,719,719,1,kids,opencv,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n32.f9600.MPI_AMR.b4.is-1-MPI_AMR,383,coloc,383,1,384,383,383,0,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n32.f9600.MPI_LUSTRE.b4.is-1-MPI_LUSTRE,383,coloc,383,1,384,383,383,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n32.f9600.MPI_LUSTRE.b4.is15-MPI_LUSTRE,15,coloc,383,1,384,383,383,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n32.f9600.POSIX.b4.is-1-POSIX,383,coloc,383,1,384,383,383,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n32.f9600.POSIX.b4.is1-POSIX,1,coloc,383,1,384,383,383,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n32.f9600.POSIX.b4.is15-POSIX,15,coloc,383,1,384,383,383,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n60.f18000.MPI_AMR.b4.is-1-MPI_AMR,719,coloc,719,1,720,719,719,0,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n60.f18000.MPI_LUSTRE.b4.is-1-MPI_LUSTRE,719,coloc,719,1,720,719,719,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n60.f18000.MPI_LUSTRE.b4.is15-MPI_LUSTRE,15,coloc,719,1,720,719,719,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n60.f18000.POSIX.b4.is-1-POSIX,719,coloc,719,1,720,719,719,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n60.f18000.POSIX.b4.is1-POSIX,1,coloc,719,1,720,719,719,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.coloc.keeneland.n60.f18000.POSIX.b4.is15-POSIX,15,coloc,719,1,720,719,719,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n32.f9600.MPI_AMR.b4.io60-1.is60,60,sep-W,323,1,384,323,60,0,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n32.f9600.MPI_LUSTRE.b4.io60-1.is15,15,sep-W,323,1,384,323,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n32.f9600.MPI_LUSTRE.b4.io60-1.is60,60,sep-W,323,1,384,323,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n32.f9600.na-POSIX.b4.io60-1.is1,1,sep-W,323,1,384,323,60,0,kids,na-POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n32.f9600.POSIX.b4.io60-1.is15,15,sep-W,323,1,384,323,60,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n32.f9600.POSIX.b4.io60-1.is60,60,sep-W,323,1,384,323,60,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n60.f18000.MPI_AMR.b4.io60-1.is60,60,sep-W,659,1,720,659,60,0,kids,MPI_AMR,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n60.f18000.MPI_LUSTRE.b4.io60-1.is15,15,sep-W,659,1,720,659,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n60.f18000.MPI_LUSTRE.b4.io60-1.is60,60,sep-W,659,1,720,659,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n60.f18000.na-POSIX.b4.io60-1.is1,1,sep-W,659,1,720,659,60,0,kids,na-POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io60-1.is15,15,sep-W,659,1,720,659,60,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-4/TCGA.separate.keeneland.n60.f18000.POSIX.b4.io60-1.is60,60,sep-W,659,1,720,659,60,0,kids,POSIX,TCGA-GBM
1,1,4,0,4096,9600,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-5/TCGA.separate.keeneland.n32.f9600.na-POSIX.b4.io60-1.is1,1,sep-W,323,1,384,323,60,0,kids,na-POSIX,TCGA-GBM
1,1,4,0,4096,18000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-5/TCGA.separate.keeneland.n60.f18000.na-POSIX.b4.io60-1.is1,1,sep-W,659,1,720,659,60,0,kids,na-POSIX,TCGA-GBM
1,1,1,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.baseline.keeneland.n100.f30000,1199,baseline,1199,1,1200,1199,1199,0,kids,opencv,TCGA-GBM
1,1,1,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.baseline.keeneland.n100.f30000.ost,1199,baseline,1199,1,1200,1199,1199,1,kids,opencv,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.coloc.keeneland.n100.f30000.MPI_AMR.b4.is-1-MPI_AMR,1199,coloc,1199,1,1200,1199,1199,0,kids,MPI_AMR,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.coloc.keeneland.n100.f30000.MPI_LUSTRE.b4.is-1-MPI_LUSTRE,1199,coloc,1199,1,1200,1199,1199,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.coloc.keeneland.n100.f30000.MPI_LUSTRE.b4.is15-MPI_LUSTRE,15,coloc,1199,1,1200,1199,1199,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is-1-POSIX,1199,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is1-POSIX,1,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is15-POSIX,15,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.separate.keeneland.n100.f30000.MPI_AMR.b4.io60-1.is60,60,sep-W,1139,1,1200,1139,60,0,kids,MPI_AMR,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.separate.keeneland.n100.f30000.MPI_LUSTRE.b4.io60-1.is15,15,sep-W,1139,1,1200,1139,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.separate.keeneland.n100.f30000.MPI_LUSTRE.b4.io60-1.is60,60,sep-W,1139,1,1200,1139,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.separate.keeneland.n100.f30000.na-POSIX.b4.io60-1.is1,1,sep-W,1139,1,1200,1139,60,0,kids,na-POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.separate.keeneland.n100.f30000.POSIX.b4.io60-1.is15,15,sep-W,1139,1,1200,1139,60,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap1/TCGA.separate.keeneland.n100.f30000.POSIX.b4.io60-1.is60,60,sep-W,1139,1,1200,1139,60,0,kids,POSIX,TCGA-GBM
1,1,1,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.baseline.keeneland.n100.f30000,1199,baseline,1199,1,1200,1199,1199,0,kids,opencv,TCGA-GBM
1,1,1,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.baseline.keeneland.n100.f30000.ost,1199,baseline,1199,1,1200,1199,1199,1,kids,opencv,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.coloc.keeneland.n100.f30000.MPI_AMR.b4.is-1-MPI_AMR,1199,coloc,1199,1,1200,1199,1199,0,kids,MPI_AMR,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.coloc.keeneland.n100.f30000.MPI_LUSTRE.b4.is-1-MPI_LUSTRE,1199,coloc,1199,1,1200,1199,1199,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.coloc.keeneland.n100.f30000.MPI_LUSTRE.b4.is15-MPI_LUSTRE,15,coloc,1199,1,1200,1199,1199,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is-1-POSIX,1199,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is1-POSIX,1,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is15-POSIX,15,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.separate.keeneland.n100.f30000.MPI_AMR.b4.io60-1.is60,60,sep-W,1139,1,1200,1139,60,0,kids,MPI_AMR,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.separate.keeneland.n100.f30000.MPI_LUSTRE.b4.io60-1.is15,15,sep-W,1139,1,1200,1139,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.separate.keeneland.n100.f30000.MPI_LUSTRE.b4.io60-1.is60,60,sep-W,1139,1,1200,1139,60,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.separate.keeneland.n100.f30000.na-POSIX.b4.io60-1.is1,1,sep-W,1139,1,1200,1139,60,0,kids,na-POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.separate.keeneland.n100.f30000.POSIX.b4.io60-1.is15,15,sep-W,1139,1,1200,1139,60,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap2/TCGA.separate.keeneland.n100.f30000.POSIX.b4.io60-1.is60,60,sep-W,1139,1,1200,1139,60,0,kids,POSIX,TCGA-GBM
1,1,1,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap3/TCGA.baseline.keeneland.n100.f30000,1199,baseline,1199,1,1200,1199,1199,0,kids,opencv,TCGA-GBM
1,1,1,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap3/TCGA.baseline.keeneland.n100.f30000.ost,1199,baseline,1199,1,1200,1199,1199,1,kids,opencv,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap3/TCGA.coloc.keeneland.n100.f30000.MPI_AMR.b4.is-1-MPI_AMR,1199,coloc,1199,1,1200,1199,1199,0,kids,MPI_AMR,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap3/TCGA.coloc.keeneland.n100.f30000.MPI_LUSTRE.b4.is-1-MPI_LUSTRE,1199,coloc,1199,1,1200,1199,1199,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap3/TCGA.coloc.keeneland.n100.f30000.MPI_LUSTRE.b4.is15-MPI_LUSTRE,15,coloc,1199,1,1200,1199,1199,0,kids,MPI_LUSTRE,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap3/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is-1-POSIX,1199,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap3/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is1-POSIX,1,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap3/TCGA.coloc.keeneland.n100.f30000.POSIX.b4.is15-POSIX,15,coloc,1199,1,1200,1199,1199,0,kids,POSIX,TCGA-GBM
1,1,4,1,4096,30000,/home/tcpan/PhD/path/Data/adios/PreIPROBE/keeneland-hpdc2012-compress-cap3/TCGA.separate.keeneland.n100.f30000.MPI_AMR.b4.io60-1.is60,60,sep-W,1139,1,1200,1139,60,0,kids,MPI_AMR,TCGA-GBM
